Year,Distance,Stroke,Sex,Nationality,Athlete,Time,Rank,Event,Source,Time_sec,Nationality_full
1980,100m,Butterfly,Men,URS,Aleksey Markovsky,55.700,4,100m Butterfly,Olympic,55.7,URS
1980,100m,Butterfly,Women,GDR,Caren Metschuck,00:01:00.420000,1,100m Butterfly,Olympic,60.42,GDR
1980,100m,Butterfly,Women,GDR,Andrea Pollack,00:01:00.900000,2,100m Butterfly,Olympic,60.9,GDR
1980,100m,Butterfly,Women,GDR,Christiane Knacke,00:01:01.440000,3,100m Butterfly,Olympic,61.44,GDR
1980,100m,Butterfly,Women,GBR,Ann Osgerby,00:01:02.210000,4,100m Butterfly,Olympic,62.21,United Kingdom
1980,100m,Butterfly,Women,AUS,Lisa Gaye Curry-Kenny,00:01:02.400000,4,100m Butterfly,Olympic,62.4,Australia
1980,100m,Butterfly,Women,SWE,Agneta Märtensson,00:01:02.610000,4,100m Butterfly,Olympic,62.61,Sweden
1980,100m,Butterfly,Women,CRC,Mariam Paris,00:01:02.890000,4,100m Butterfly,Olympic,62.89,CRC
1980,100m,Butterfly,Women,GBR,Janet Osgerby,00:01:02.900000,4,100m Butterfly,Olympic,62.9,United Kingdom
1980,100m,Freestyle,Men,GDR,Jörg Woithe,50.400,1,100m Freestyle,Olympic,50.4,GDR
1980,100m,Freestyle,Men,SWE,Per Holmertz,50.910,2,100m Freestyle,Olympic,50.91,Sweden
1980,100m,Freestyle,Men,SWE,Per Johansson,51.290,3,100m Freestyle,Olympic,51.29,Sweden
1980,100m,Freestyle,Men,URS,Sergei Koplyakov,51.340,4,100m Freestyle,Olympic,51.34,URS
1980,100m,Freestyle,Men,ITA,Raffaele Franceschi,51.690,4,100m Freestyle,Olympic,51.69,Italy
1980,100m,Freestyle,Men,URS,Sergei Krasiuk,51.800,4,100m Freestyle,Olympic,51.8,URS
1980,100m,Freestyle,Men,FRA,Rene Ecuyer,52.010,4,100m Freestyle,Olympic,52.01,France
1980,100m,Freestyle,Men,AUS,Graeme Brewer,52.220,4,100m Freestyle,Olympic,52.22,Australia
1980,100m,Freestyle,Women,GDR,Barbara Krause,54.790,1,100m Freestyle,Olympic,54.79,GDR
1980,100m,Freestyle,Women,GDR,Caren Metschuck,55.160,2,100m Freestyle,Olympic,55.16,GDR
1980,100m,Freestyle,Women,GDR,Ines Diers,55.650,3,100m Freestyle,Olympic,55.65,GDR
1980,100m,Freestyle,Women,URS,Olga Klevakina,57.400,4,100m Freestyle,Olympic,57.4,URS
1980,100m,Freestyle,Women,NED,Conny Van Bentum,57.630,4,100m Freestyle,Olympic,57.63,NED
1980,100m,Freestyle,Women,URS,Natalia Strunnikova,57.830,4,100m Freestyle,Olympic,57.83,URS
1980,100m,Freestyle,Women,FRA,Guylaine Berger,57.880,4,100m Freestyle,Olympic,57.88,France
1980,100m,Freestyle,Women,SWE,Agneta Eriksson,57.900,4,100m Freestyle,Olympic,57.9,Sweden
1980,1500m,Freestyle,Men,URS,Vladimir Salnikov,00:14:58.270000,1,1500m Freestyle,Olympic,898.27,URS
1980,1500m,Freestyle,Men,URS,Aleksandr Chaev,00:15:14.300000,2,1500m Freestyle,Olympic,914.3,URS
1980,1500m,Freestyle,Men,AUS,Maxwell Metzker,00:15:14.490000,3,1500m Freestyle,Olympic,914.49,Australia
1980,1500m,Freestyle,Men,GDR,Rainer Strohbach,00:15:15.290000,4,1500m Freestyle,Olympic,915.29,GDR
1980,1500m,Freestyle,Men,YUG,Borut Petric,00:15:21.780000,4,1500m Freestyle,Olympic,921.78,YUG
1980,1500m,Freestyle,Men,ESP,Rafael Escalas,00:15:21.880000,4,1500m Freestyle,Olympic,921.88,Spain
1980,1500m,Freestyle,Men,HUN,Zoltan Wladar,00:15:26.700000,4,1500m Freestyle,Olympic,926.7,Hungary
1980,1500m,Freestyle,Men,URS,Eduard Petrov,00:15:28.240000,4,1500m Freestyle,Olympic,928.24,URS
1980,200m,Backstroke,Men,HUN,Sandor Wladar,00:02:01.930000,1,200m Backstroke,Olympic,121.93,Hungary
1980,200m,Backstroke,Men,HUN,Zoltan Verraszto,00:02:02.400000,2,200m Backstroke,Olympic,122.4,Hungary
1980,200m,Backstroke,Men,AUS,Mark Kerry,00:02:03.140000,3,200m Backstroke,Olympic,123.14,Australia
1980,200m,Backstroke,Men,URS,Vladimir Shemetov,00:02:03.480000,4,200m Backstroke,Olympic,123.48,URS
1980,200m,Backstroke,Men,NED,Fred Eefting,00:02:03.920000,4,200m Backstroke,Olympic,123.92,NED
1980,200m,Backstroke,Men,SWE,Michael Soderlund,00:02:04.100000,4,200m Backstroke,Olympic,124.1,Sweden
1980,200m,Backstroke,Men,GBR,Douglas Campbell,00:02:04.230000,4,200m Backstroke,Olympic,124.23,United Kingdom
1980,200m,Backstroke,Men,AUS,Paul Moorfoot,00:02:06.150000,4,200m Backstroke,Olympic,126.15,Australia
1980,200m,Backstroke,Women,GDR,Rica Reinisch,00:02:11.770000,1,200m Backstroke,Olympic,131.77,GDR
1980,200m,Backstroke,Women,GDR,Cornelia Polit,00:02:13.750000,2,200m Backstroke,Olympic,133.75,GDR
1980,200m,Backstroke,Women,GDR,Birgit Treiber,00:02:14.140000,3,200m Backstroke,Olympic,134.14,GDR
1980,200m,Backstroke,Women,ROU,Carmen Bunaciu,00:02:15.200000,4,200m Backstroke,Olympic,135.2,Romania
1980,200m,Backstroke,Women,BEL,Yolande Van Der Straeten,00:02:15.580000,4,200m Backstroke,Olympic,135.58,Belgium
1980,200m,Backstroke,Women,BEL,Carine Verbauwen,00:02:16.660000,4,200m Backstroke,Olympic,136.66,Belgium
1980,200m,Backstroke,Women,AUS,Lisa Forrest,00:02:16.750000,4,200m Backstroke,Olympic,136.75,Australia
1980,200m,Backstroke,Women,URS,Larisa Gorchakova,00:02:17.720000,4,200m Backstroke,Olympic,137.72,URS
1980,200m,Breaststroke,Men,URS,Robertas Žulpa,00:02:15.850000,1,200m Breaststroke,Olympic,135.85,URS
1980,200m,Breaststroke,Men,HUN,Alban Vermes,00:02:16.930000,2,200m Breaststroke,Olympic,136.93,Hungary
1980,200m,Breaststroke,Men,URS,Arsens Miskarovs,00:02:17.280000,3,200m Breaststroke,Olympic,137.28,URS
1980,200m,Breaststroke,Men,URS,Gennadi Utenkov,00:02:19.640000,4,200m Breaststroke,Olympic,139.64,URS
1980,200m,Breaststroke,Men,AUS,Lindsay Spencer,00:02:19.680000,4,200m Breaststroke,Olympic,139.68,Australia
1980,200m,Breaststroke,Men,GBR,Duncan Goodhew,00:02:20.920000,4,200m Breaststroke,Olympic,140.92000000000002,United Kingdom
1980,200m,Breaststroke,Men,SWE,Peter Berggren,00:02:21.650000,4,200m Breaststroke,Olympic,141.65,Sweden
1980,200m,Breaststroke,Men,GDR,Jorg Walter,00:02:22.390000,4,200m Breaststroke,Olympic,142.39,GDR
1980,200m,Breaststroke,Women,URS,Lina Kachushite,00:02:29.540000,1,200m Breaststroke,Olympic,149.54,URS
1980,200m,Breaststroke,Women,URS,Svetlana Varganova,00:02:29.610000,2,200m Breaststroke,Olympic,149.61,URS
1980,200m,Breaststroke,Women,URS,Yulia Bogdanova,00:02:32.390000,3,200m Breaststroke,Olympic,152.39,URS
1980,200m,Breaststroke,Women,DEN,Susanne Schultz Nielsson,00:02:32.750000,4,200m Breaststroke,Olympic,152.75,DEN
1980,200m,Breaststroke,Women,TCH,Irena Fleissnerova,00:02:33.230000,4,200m Breaststroke,Olympic,153.23,TCH
1980,200m,Breaststroke,Women,GDR,Ute Geweniger,00:02:34.340000,4,200m Breaststroke,Olympic,154.34,GDR
1980,200m,Breaststroke,Women,GDR,Bettina Lobel,00:02:34.510000,4,200m Breaststroke,Olympic,154.51,GDR
1980,200m,Breaststroke,Women,GDR,Silvia Rinka,00:02:35.380000,4,200m Breaststroke,Olympic,155.38,GDR
1980,200m,Butterfly,Men,URS,Sergei Fesenko,00:01:59.760000,1,200m Butterfly,Olympic,119.75999999999999,URS
1980,200m,Butterfly,Men,GBR,Philip Hubble,00:02:01.200000,2,200m Butterfly,Olympic,121.2,United Kingdom
1980,200m,Butterfly,Men,GDR,Roger Pyttel,00:02:01.390000,3,200m Butterfly,Olympic,121.39,GDR
1980,200m,Butterfly,Men,GBR,Peter Morris,00:02:02.270000,4,200m Butterfly,Olympic,122.27,United Kingdom
1980,200m,Butterfly,Men,URS,Mikhail Gorelik,00:02:02.440000,4,200m Butterfly,Olympic,122.44,URS
1980,200m,Butterfly,Men,NED,Kees Vervoorn,00:02:02.520000,4,200m Butterfly,Olympic,122.52,NED
1980,200m,Butterfly,Men,SWE,Pär Arvidsson,00:02:02.610000,4,200m Butterfly,Olympic,122.61,Sweden
1980,200m,Butterfly,Men,GBR,Stephen Poulter,00:02:02.930000,4,200m Butterfly,Olympic,122.93,United Kingdom
1980,200m,Butterfly,Women,GDR,Ines Geissler,00:02:10.440000,1,200m Butterfly,Olympic,130.44,GDR
1980,200m,Butterfly,Women,GDR,Sybille Schönrock,00:02:10.450000,2,200m Butterfly,Olympic,130.45,GDR
1980,200m,Butterfly,Women,AUS,Michelle Ford,00:02:11.660000,3,200m Butterfly,Olympic,131.66,Australia
1980,200m,Butterfly,Women,GDR,Andrea Pollack,00:02:12.130000,4,200m Butterfly,Olympic,132.13,GDR
1980,200m,Butterfly,Women,POL,Dorota Brzozowska,00:02:14.120000,4,200m Butterfly,Olympic,134.12,Poland
1980,200m,Butterfly,Women,GBR,Ann Osgerby,00:02:14.830000,4,200m Butterfly,Olympic,134.83,United Kingdom
1980,200m,Butterfly,Women,SWE,Agneta Märtensson,00:02:15.220000,4,200m Butterfly,Olympic,135.22,Sweden
1980,200m,Butterfly,Women,URS,Alla Grishchenkova,00:02:15.700000,4,200m Butterfly,Olympic,135.7,URS
1980,200m,Freestyle,Men,URS,Sergei Koplyakov,00:01:49.810000,1,200m Freestyle,Olympic,109.81,URS
1980,200m,Freestyle,Men,URS,Andrei Krylov,00:01:50.760000,2,200m Freestyle,Olympic,110.75999999999999,URS
1980,200m,Freestyle,Men,AUS,Graeme Brewer,00:01:51.600000,3,200m Freestyle,Olympic,111.6,Australia
1980,200m,Freestyle,Men,GDR,Jörg Woithe,00:01:51.860000,4,200m Freestyle,Olympic,111.86,GDR
1980,200m,Freestyle,Men,AUS,Ron Mckeon,00:01:52.600000,4,200m Freestyle,Olympic,112.6,Australia
1980,200m,Freestyle,Men,ITA,Paolo Revelli,00:01:52.760000,4,200m Freestyle,Olympic,112.75999999999999,Italy
1980,200m,Freestyle,Men,SWE,Thomas Lejdstrom,00:01:52.940000,4,200m Freestyle,Olympic,112.94,Sweden
1980,200m,Freestyle,Men,ITA,Fabrizio Rampazzo,00:01:53.250000,4,200m Freestyle,Olympic,113.25,Italy
1980,200m,Freestyle,Women,GDR,Barbara Krause,00:01:58.330000,1,200m Freestyle,Olympic,118.33,GDR
1980,200m,Freestyle,Women,GDR,Ines Diers,00:01:59.640000,2,200m Freestyle,Olympic,119.64,GDR
1980,200m,Freestyle,Women,GDR,Carmela Schmidt,00:02:01.440000,3,200m Freestyle,Olympic,121.44,GDR
1980,200m,Freestyle,Women,URS,Olga Klevakina,00:02:02.290000,4,200m Freestyle,Olympic,122.29,URS
1980,200m,Freestyle,Women,NED,Reggie De Jong,00:02:02.760000,4,200m Freestyle,Olympic,122.76,NED
1980,200m,Freestyle,Women,GBR,June Croft,00:02:03.150000,4,200m Freestyle,Olympic,123.15,United Kingdom
1980,200m,Freestyle,Women,URS,Natalia Strunnikova,00:02:03.740000,4,200m Freestyle,Olympic,123.74,URS
1980,200m,Freestyle,Women,URS,Irina Aksenova,00:02:04.000000,4,200m Freestyle,Olympic,124.0,URS
1980,400m,Freestyle,Men,URS,Vladimir Salnikov,00:03:51.310000,1,400m Freestyle,Olympic,231.31,URS
1980,400m,Freestyle,Men,URS,Andrei Krylov,00:03:53.240000,2,400m Freestyle,Olympic,233.24,URS
1980,400m,Freestyle,Men,URS,Ivar Stukolkin,00:03:53.950000,3,400m Freestyle,Olympic,233.95,URS
1980,400m,Freestyle,Men,BRA,Djan Garrido Madruga,00:03:54.150000,4,400m Freestyle,Olympic,234.15,Brazil
1980,400m,Freestyle,Men,TCH,Daniel Machek,00:03:55.660000,4,400m Freestyle,Olympic,235.66,TCH
1980,400m,Freestyle,Men,HUN,Sandor Nagy,00:03:56.830000,4,400m Freestyle,Olympic,236.82999999999998,Hungary
1980,400m,Freestyle,Men,AUS,Maxwell Metzker,00:03:56.870000,4,400m Freestyle,Olympic,236.87,Australia
1980,400m,Freestyle,Men,AUS,Ron Mckeon,00:03:57.000000,4,400m Freestyle,Olympic,237.0,Australia
1980,400m,Freestyle,Women,GDR,Ines Diers,00:04:08.760000,1,400m Freestyle,Olympic,248.76,GDR
1980,400m,Freestyle,Women,GDR,Petra Schneider,00:04:09.160000,2,400m Freestyle,Olympic,249.16,GDR
1980,400m,Freestyle,Women,GDR,Carmela Schmidt,00:04:10.860000,3,400m Freestyle,Olympic,250.86,GDR
1980,400m,Freestyle,Women,AUS,Michelle Ford,00:04:11.650000,4,400m Freestyle,Olympic,251.65,Australia
1980,400m,Freestyle,Women,URS,Irina Aksenova,00:04:14.400000,4,400m Freestyle,Olympic,254.4,URS
1980,400m,Freestyle,Women,NED,Annelies Maas,00:04:15.790000,4,400m Freestyle,Olympic,255.79,NED
1980,400m,Freestyle,Women,NED,Reggie De Jong,00:04:15.950000,4,400m Freestyle,Olympic,255.95,NED
1980,400m,Freestyle,Women,URS,Olga Klevakina,00:04:19.180000,4,400m Freestyle,Olympic,259.18,URS
1980,400m,Individual medley,Men,URS,Aleksandr Sidorenko,00:04:22.890000,1,400m Individual medley,Olympic,262.89,URS
1980,400m,Individual medley,Men,URS,Sergei Fesenko,00:04:23.430000,2,400m Individual medley,Olympic,263.43,URS
1980,400m,Individual medley,Men,HUN,Zoltan Verraszto,00:04:24.240000,3,400m Individual medley,Olympic,264.24,Hungary
1980,400m,Individual medley,Men,HUN,Andras Hargitay,00:04:24.480000,4,400m Individual medley,Olympic,264.48,Hungary
1980,400m,Individual medley,Men,BRA,Djan Garrido Madruga,00:04:26.810000,4,400m Individual medley,Olympic,266.81,Brazil
1980,400m,Individual medley,Men,TCH,Miloslav Rolko,00:04:26.990000,4,400m Individual medley,Olympic,266.99,TCH
1980,400m,Individual medley,Men,POL,Leszek Gorski,00:04:28.890000,4,400m Individual medley,Olympic,268.89,Poland
1980,400m,Individual medley,Men,TCH,Daniel Machek,00:04:29.860000,4,400m Individual medley,Olympic,269.86,TCH
1980,400m,Individual medley,Women,GDR,Petra Schneider,00:04:36.290000,1,400m Individual medley,Olympic,276.29,GDR
1980,400m,Individual medley,Women,GBR,Sharron Elizabeth Davies,00:04:46.830000,2,400m Individual medley,Olympic,286.83,United Kingdom
1980,400m,Individual medley,Women,POL,Agnieszka Czopek,00:04:48.170000,3,400m Individual medley,Olympic,288.17,Poland
1980,400m,Individual medley,Women,GDR,Grit Slaby,00:04:48.540000,4,400m Individual medley,Olympic,288.54,GDR
1980,400m,Individual medley,Women,GDR,Ulrike Tauber,00:04:49.180000,4,400m Individual medley,Olympic,289.18,GDR
1980,400m,Individual medley,Women,BUL,Sonia Dangalakova,00:04:49.250000,4,400m Individual medley,Olympic,289.25,BUL
1980,400m,Individual medley,Women,URS,Olga Klevakina,00:04:50.910000,4,400m Individual medley,Olympic,290.90999999999997,URS
1980,400m,Individual medley,Women,POL,Magdalena Bialas,00:04:53.300000,4,400m Individual medley,Olympic,293.3,Poland
1980,4x100m,Freestyle,Women,GER,"Carmela Schmidt, Barbara Krause, Caren Metschuck, Ines Diers, Sarina Hülsenbeck",00:03:42.710000,1,4x100m Freestyle,Olympic,222.71,GER
1980,4x100m,Freestyle,Women,SWE,"Carina Ljungdahl, Birgitta Jonsson, Tina Gustafsson, Agneta Märtensson, Agneta Eriksson, Helena Peterson",00:03:48.930000,2,4x100m Freestyle,Olympic,228.93,Sweden
1980,4x100m,Freestyle,Women,NLD,"Reggie De Jong, Annelies Maas, Wilma Van Velsen",00:03:49.510000,3,4x100m Freestyle,Olympic,229.51,Netherlands
1980,4x100m,Freestyle,Women,GBR,"Jacquelene Willmott, Sharron Elizabeth Davies, Kaye Lovatt, June Croft, Susan Cooper",00:03:51.710000,4,4x100m Freestyle,Olympic,231.71,United Kingdom
1980,4x100m,Freestyle,Women,AUS,"Rosemary Brown, Karen Van De Graaf, Michelle Pearson, Lisa Gaye Curry-Kenny",00:03:54.160000,4,4x100m Freestyle,Olympic,234.16,Australia
1980,4x100m,Freestyle,Women,MEX,"Teresa Rivera, Dagmar Erdman, Hellen Plaschinski, Isabel Reuss",00:03:55.410000,4,4x100m Freestyle,Olympic,235.41,Mexico
1980,4x100m,Freestyle,Women,BGR,"Ani Kostova, Rumiana Dobreva, Dobrinka Mincheva, Sonia Dangalakova",00:03:56.340000,4,4x100m Freestyle,Olympic,236.34,Bulgaria
1980,4x100m,Freestyle,Women,ESP,"Margarita Armengol, Laura Flaque, Natalia Mas, Gloria Casado",00:03:58.730000,4,4x100m Freestyle,Olympic,238.73,Spain
1980,4x100m,Medley,Men,AUS,"Peter Evans, Neil Brooks, Glen Patching, Mark Kerry, Mark Tonelli",00:03:45.700000,1,4x100m Medley,Olympic,225.7,Australia
1980,4x100m,Medley,Men,SUN,"Vladimir Shemetov, Viktor Kuznetsov, Sergei Krasiuk, Aleksandr Fedorovski, Evgeni Seredin, Sergei Koplyakov",00:03:45.920000,2,4x100m Medley,Olympic,225.92000000000002,SUN
1980,4x100m,Medley,Men,GBR,"David Lowe, Martin Smith, Philip Hubble, Duncan Goodhew, Mark Taylor, Paul Marshall, Gary Abraham, Leigh Atkinson",00:03:47.710000,3,4x100m Medley,Olympic,227.71,United Kingdom
1980,4x100m,Medley,Men,GER,"Frank Kuhne, Jorg Walter, Dietmar Gohring, Jörg Woithe, Roger Pyttel",00:03:48.250000,4,4x100m Medley,Olympic,228.25,GER
1980,4x100m,Medley,Men,FRA,"Olivier Borios, Rene Ecuyer, Frederic Delcourt, Xavier Savin",00:03:49.190000,4,4x100m Medley,Olympic,229.19,France
1980,4x100m,Medley,Men,HUN,"Zoltan Verraszto, Gabor Meszaros, Sandor Wladar, Janos Dzvonyar",00:03:50.290000,4,4x100m Medley,Olympic,230.29,Hungary
1980,4x100m,Medley,Men,NLD,"Cees Jan Winkel, Kees Vervoorn, Albert Boonstra, Peter Drost, Fred Eefting",00:03:51.810000,4,4x100m Medley,Olympic,231.81,Netherlands
1980,4x100m,Medley,Men,BRA,"Claudio Mamede Kestener, Sergio Pinto Pinto Ribeiro, Romulo Duncan Duncan Arantes, Jorge Luiz Fernandes, Ciro Marques Delgado",00:03:53.240000,4,4x100m Medley,Olympic,233.24,Brazil
1980,4x100m,Medley,Women,GER,"Ute Geweniger, Andrea Pollack, Rica Reinisch, Sarina Hülsenbeck, Caren Metschuck",00:04:06.670000,1,4x100m Medley,Olympic,246.67,GER
1980,4x100m,Medley,Women,GBR,"June Croft, Margaret Kelly-Hohmann, Ann Osgerby, Helen Jameson",00:04:12.240000,2,4x100m Medley,Olympic,252.24,United Kingdom
1980,4x100m,Medley,Women,SUN,"Natalia Strunnikova, Elvira Vasilkova, Alla Grishchenkova, Irina Aksenova, Olga Klevakina",00:04:13.610000,3,4x100m Medley,Olympic,253.61,SUN
1980,4x100m,Medley,Women,SWE,"Carina Ljungdahl, Ann-Sofi Roos, Armi Airaksinen, Tina Gustafsson, Agneta Märtensson, Annika Uvehall, Eva-Marie Hakansson",00:04:16.910000,4,4x100m Medley,Olympic,256.91,Sweden
1980,4x100m,Medley,Women,ITA,"Monica Vallarin, Laura Foralosso, Sabrina Seminatore, Cinzia Savi Scarponi",00:04:19.050000,4,4x100m Medley,Olympic,259.05,Italy
1980,4x100m,Medley,Women,AUS,"Lisa Gaye Curry-Kenny, Rosemary Brown, Karen Van De Graaf, Lisa Forrest",00:04:19.900000,4,4x100m Medley,Olympic,259.9,Australia
1980,4x100m,Medley,Women,ROU,"Mariana Paraschiv, Carmen Bunaciu, Irinel Adela Panulescu, Brigitte Prass",00:04:21.270000,4,4x100m Medley,Olympic,261.27,Romania
1980,4x100m,Medley,Women,BGR,"Dobrinka Mincheva, Ani Moneva, Tania Bogomilova-Dangalakova, Sonia Dangalakova, Ani Kostova",00:04:22.380000,4,4x100m Medley,Olympic,262.38,Bulgaria
1980,4x200m,Freestyle,Men,SUN,"Sergei Krasiuk, Vladimir Salnikov, Andrei Krylov, Sergei Koplyakov, Ivar Stukolkin, Sergei Rusin",00:07:23.500000,1,4x200m Freestyle,Olympic,443.5,SUN
1980,4x200m,Freestyle,Men,GER,"Frank Pfütze, Frank Kuhne, Rainer Strohbach, Detlev Grabs, Jörg Woithe",00:07:28.600000,2,4x200m Freestyle,Olympic,448.6,GER
1980,4x200m,Freestyle,Men,BRA,"Marcus Laborne Mattioli, Jorge Luiz Fernandes, Ciro Marques Delgado, Djan Garrido Madruga",00:07:29.300000,3,4x200m Freestyle,Olympic,449.3,Brazil
1980,4x200m,Freestyle,Men,SWE,"Michael Soderlund, Per Holmertz, Per Johansson, Anders Rutqvist, Thomas Lejdstrom, Per Wikstrom, Per-Ola Quist, Per-Alvar Magnusson",00:07:30.100000,4,4x200m Freestyle,Olympic,450.1,Sweden
1980,4x200m,Freestyle,Men,ITA,"Federico Silvestri, Andrea Ceccarini, Fabrizio Rampazzo, Raffaele Franceschi, Paolo Revelli",00:07:30.370000,4,4x200m Freestyle,Olympic,450.37,Italy
1980,4x200m,Freestyle,Men,GBR,"Kevin Lee, Stephen Poulter, Douglas Campbell, Mark Taylor, Andrew Astbury, Martin Smith, Simon Gray, Philip Hubble",00:07:30.810000,4,4x200m Freestyle,Olympic,450.81,United Kingdom
1980,4x200m,Freestyle,Men,AUS,"Mark Tonelli, Graeme Brewer, Ron Mckeon, Mark Kerry, Maxwell Metzker",00:07:30.820000,4,4x200m Freestyle,Olympic,450.82,Australia
1980,4x200m,Freestyle,Men,FRA,"Dominique Petit, Fabien Noel, Marc Lazzaro, Pascal Laget",00:07:36.080000,4,4x200m Freestyle,Olympic,456.08,France
1980,800m,Freestyle,Women,AUS,Michelle Ford,00:08:28.900000,1,800m Freestyle,Olympic,508.9,Australia
1980,800m,Freestyle,Women,GDR,Ines Diers,00:08:32.550000,2,800m Freestyle,Olympic,512.55,GDR
1980,800m,Freestyle,Women,GDR,Heike Dähne,00:08:33.480000,3,800m Freestyle,Olympic,513.48,GDR
1980,800m,Freestyle,Women,URS,Irina Aksenova,00:08:38.050000,4,800m Freestyle,Olympic,518.05,URS
1980,800m,Freestyle,Women,URS,Oksana Komissarova,00:08:42.040000,4,800m Freestyle,Olympic,522.04,URS
1980,800m,Freestyle,Women,BEL,Pascale Verbauwen,00:08:44.840000,4,800m Freestyle,Olympic,524.84,Belgium
1980,800m,Freestyle,Women,GDR,Ines Geissler,00:08:45.280000,4,800m Freestyle,Olympic,525.28,GDR
1980,800m,Freestyle,Women,URS,Elena Ivanova,00:08:46.450000,4,800m Freestyle,Olympic,526.45,URS
1976,100m,Backstroke,Men,USA,John Phillips Naber,55.490,1,100m Backstroke,Olympic,55.49,United States
1976,100m,Backstroke,Men,USA,Peter Drake Rocca,56.340,2,100m Backstroke,Olympic,56.34,United States
1976,100m,Backstroke,Men,GDR,Roland Matthes,57.220,3,100m Backstroke,Olympic,57.22,GDR
1976,100m,Backstroke,Men,PUR,Carlos Berrocal,57.280,4,100m Backstroke,Olympic,57.28,PUR
1976,100m,Backstroke,Men,GDR,Lutz Wanja,57.490,4,100m Backstroke,Olympic,57.49,GDR
1976,100m,Backstroke,Men,USA,Robert Scott Jackson,57.690,4,100m Backstroke,Olympic,57.69,United States
1976,100m,Backstroke,Men,AUS,Mark Kerry,57.940,4,100m Backstroke,Olympic,57.94,Australia
1976,100m,Backstroke,Men,AUS,Mark Tonelli,58.420,4,100m Backstroke,Olympic,58.42,Australia
1976,100m,Backstroke,Women,GDR,Ulrike Richter,00:01:01.830000,1,100m Backstroke,Olympic,61.83,GDR
1976,100m,Backstroke,Women,GDR,Birgit Treiber,00:01:03.410000,2,100m Backstroke,Olympic,63.41,GDR
1976,100m,Backstroke,Women,CAN,Nancy Ellen Garapick,00:01:03.710000,3,100m Backstroke,Olympic,63.71,Canada
1976,100m,Backstroke,Women,CAN,Wendy Cook-Hogg,00:01:03.930000,4,100m Backstroke,Olympic,63.93,Canada
1976,100m,Backstroke,Women,CAN,Cheryl Gibson,00:01:05.160000,4,100m Backstroke,Olympic,65.16,Canada
1976,100m,Backstroke,Women,URS,Nadezhda Stavko,00:01:05.190000,4,100m Backstroke,Olympic,65.19,URS
1976,100m,Backstroke,Women,GDR,Antje Stille,00:01:05.300000,4,100m Backstroke,Olympic,65.3,GDR
1976,100m,Backstroke,Women,NED,Diane Edelijn,00:01:05.530000,4,100m Backstroke,Olympic,65.53,NED
1976,100m,Breaststroke,Men,USA,John Frederick Hencken,00:01:03.110000,1,100m Breaststroke,Olympic,63.11,United States
1976,100m,Breaststroke,Men,GBR,David Andrew Wilkie,00:01:03.430000,2,100m Breaststroke,Olympic,63.43,United Kingdom
1976,100m,Breaststroke,Men,URS,Arvydas Juozaitis,00:01:04.230000,3,100m Breaststroke,Olympic,64.23,URS
1976,100m,Breaststroke,Men,CAN,Graham Smith,00:01:04.260000,4,100m Breaststroke,Olympic,64.26,Canada
1976,100m,Breaststroke,Men,ITA,Giorgio Lalle,00:01:04.370000,4,100m Breaststroke,Olympic,64.37,Italy
1976,100m,Breaststroke,Men,FRG,Walter Kusch,00:01:04.380000,4,100m Breaststroke,Olympic,64.38,FRG
1976,100m,Breaststroke,Men,GBR,Duncan Goodhew,00:01:04.660000,4,100m Breaststroke,Olympic,64.66,United Kingdom
1976,100m,Breaststroke,Men,USA,Chris Woo,00:01:05.130000,4,100m Breaststroke,Olympic,65.13,United States
1976,100m,Breaststroke,Women,GDR,Hannelore Anke,00:01:11.160000,1,100m Breaststroke,Olympic,71.16,GDR
1976,100m,Breaststroke,Women,URS,Lyubov Rusanova,00:01:13.040000,2,100m Breaststroke,Olympic,73.03999999999999,URS
1976,100m,Breaststroke,Women,URS,Marina Koshevaya,00:01:13.300000,3,100m Breaststroke,Olympic,73.3,URS
1976,100m,Breaststroke,Women,GDR,Carola Nitschke,00:01:13.330000,4,100m Breaststroke,Olympic,73.33,GDR
1976,100m,Breaststroke,Women,FRG,Gabriele Askamp,00:01:14.150000,4,100m Breaststroke,Olympic,74.15,FRG
1976,100m,Breaststroke,Women,URS,Maryna Yurchenia,00:01:14.170000,4,100m Breaststroke,Olympic,74.17,URS
1976,100m,Breaststroke,Women,GBR,Margaret Kelly-Hohmann,00:01:14.200000,4,100m Breaststroke,Olympic,74.2,United Kingdom
1976,100m,Breaststroke,Women,GDR,Karla Linke,00:01:14.210000,4,100m Breaststroke,Olympic,74.21000000000001,GDR
1976,100m,Butterfly,Men,USA,Matthew Haynes Vogel,54.350,1,100m Butterfly,Olympic,54.35,United States
1976,100m,Butterfly,Men,USA,Joseph Stuart Bottom,54.500,2,100m Butterfly,Olympic,54.5,United States
1976,100m,Butterfly,Men,USA,Gary Jr. Hall,54.650,3,100m Butterfly,Olympic,54.65,United States
1976,100m,Butterfly,Men,GDR,Roger Pyttel,55.090,4,100m Butterfly,Olympic,55.09,GDR
1976,100m,Butterfly,Men,GDR,Roland Matthes,55.110,4,100m Butterfly,Olympic,55.11,GDR
1976,100m,Butterfly,Men,CAN,Clayton Evans,55.810,4,100m Butterfly,Olympic,55.81,Canada
1976,100m,Butterfly,Men,JPN,Hideaki Hara,56.340,4,100m Butterfly,Olympic,56.34,Japan
